Username,Name,Location,Description,Website,Verified,Followers,Followings,Public member,Likes,Total tweets,Date created,Default theme,Default photo,Tweet's source,Tweet's geotagged,Tweet's retweets,Tweet's likes,Tweet's mentions,Tweet's hashtags,Tweet's link
UniicMedia,Uniic Media,,"A Center-Left News Source, Uniic Media provides reinvented Democratic messaging while also sharing from across the aisle - Fair Democracy, Fair News",https://t.co/okEh5Jx2KH,FALSE,109,69,2,4596,5364,2022-01-31 13:21:47+00:00,TRUE,FALSE,Twitter for iPhone,,3,4,[],"[{'text': 'politics', 'indices': [145, 154]}, {'text': 'news', 'indices': [155, 160]}, {'text': 'economics', 'indices': [161, 171]}, {'text': 'republican', 'indices': [172, 183]}, {'text': 'covid', 'indices': [184, 190]}, {'text': 'government', 'indices': [191, 202]}, {'text': 'finance', 'indices': [203, 211]}, {'text': 'vote', 'indices': [212, 217]}, {'text': 'liberal', 'indices': [218, 226]}, {'text': 'democrats', 'indices': [227, 237]}, {'text': 'investment', 'indices': [238, 249]}, {'text': 'political', 'indices': [250, 260]}, {'text': 'Trump', 'indices': [261, 267]}, {'text': 'Biden', 'indices': [268, 274]}]",[]
Verywell,Verywell Health,New York City,Health and wellness is a journey. Verywell Health is with you every step of the way. Know more. Feel better. ❤️‍🩹 #liveVerywell https://t.co/ngOvGDNZmm,https://t.co/SUakJ0Xnrj,TRUE,18299,1039,431,2737,24469,2008-06-29 21:31:43+00:00,FALSE,FALSE,TweetDeck,,1,1,[],"[{'text': 'COVID', 'indices': [19, 25]}]","[{'url': 'https://t.co/sf2sMHjam5', 'expanded_url': 'https://bit.ly/3dzwyQI', 'display_url': 'bit.ly/3dzwyQI', 'indices': [228, 251]}]"
penninehiker,PennineWayfarer 🇬🇧,"England, United Kingdom",Passionate about Pennine Way 11 completions to date. LDWA 100 finisher. Walked from Land's End to John O'Groats. 14 Scottish UC/GOCs. Proud allotment holder.,,FALSE,1722,1814,7,30072,34730,2018-10-20 16:31:39+00:00,TRUE,FALSE,Twitter for Android,,0,0,"[{'screen_name': 'Jackson_Carlaw', 'name': 'Jackson Carlaw', 'id': 366057802, 'id_str': '366057802', 'indices': [0, 15]}, {'screen_name': 'NicolaSturgeon', 'name': 'Nicola Sturgeon', 'id': 160952087, 'id_str': '160952087', 'indices': [37, 52]}, {'screen_name': 'ScotGovFM', 'name': 'First Minister', 'id': 441779125, 'id_str': '441779125', 'indices': [53, 63]}]","[{'text': 'COVID', 'indices': [86, 92]}]",[]
Two_Cams25,@Splash Lights Photos (Back in the Game For Now),"Baltimore, Maryland",Age 33. Photographer & Videographer. Social Media & Cosplay Enthusiast. All work range between SFW & NSFW.,,FALSE,2081,4819,0,1100189,447949,2014-01-30 17:19:42+00:00,TRUE,FALSE,Twitter for Android,,1,1,[],"[{'text': 'COVID', 'indices': [173, 179]}]",[]
mdf200,Mike Dailly™ 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦💙,Dundee,"Game programmer, creator of Lemmings and Grand Theft Auto.
Comments are my own and those of the voices in my head.

https://t.co/HLb3ddl6hk
https://t.co/88Y1fTvE9M",https://t.co/ihnE65krbz,TRUE,14013,1532,304,98331,120703,2010-01-04 23:14:48+00:00,FALSE,FALSE,Twitter for iPhone,,2,7,[],"[{'text': 'Covid', 'indices': [66, 72]}, {'text': 'StandByYourPost', 'indices': [154, 170]}]","[{'url': 'https://t.co/hw2F8bTQ4i', 'expanded_url': 'https://twitter.com/cwunews/status/1562862507953233922', 'display_url': 'twitter.com/cwunews/status…', 'indices': [171, 194]}]"
Outside_Margina,Outside The Marginals,UK,"Being outside the marginals I'm not really part of the UK political system; my vote never matters; I don't count
https://t.co/urG7TkjGc4",https://t.co/BqKYdEcK,FALSE,525,63,15,87775,40939,2012-10-01 21:50:37+00:00,FALSE,FALSE,TweetDeck,,2,4,[],"[{'text': 'COVID', 'indices': [93, 99]}, {'text': 'variant', 'indices': [100, 108]}, {'text': 'c4news', 'indices': [147, 154]}, {'text': 'Skynews', 'indices': [155, 163]}, {'text': 'lbc', 'indices': [164, 168]}, {'text': 'bbcnews', 'indices': [169, 177]}, {'text': 'itvnews', 'indices': [178, 186]}]",[]
Anwer121212M,M. Anwer,"Karachi, Pakistan","“The purpose of life is not to be happy—but to matter, to be productive, to be useful, to have it make some difference that you lived at all.” Leo Rosten",,FALSE,85,665,2,4942,15004,2015-01-14 13:48:27+00:00,TRUE,FALSE,Twitter for iPhone,,0,0,"[{'screen_name': 'ForumStrategic', 'name': 'Pakistan Strategic Forum', 'id': 1205376347528474624, 'id_str': '1205376347528474624', 'indices': [0, 15]}]","[{'text': 'covid', 'indices': [33, 39]}]",[]
Art_Ward27,Geoff Allen,,,,FALSE,0,3,0,0,10,2021-10-12 18:03:53+00:00,TRUE,FALSE,Twitter for iPhone,,1,1,"[{'screen_name': 'AirCanada', 'name': 'Air Canada', 'id': 54904679, 'id_str': '54904679', 'indices': [0, 10]}]","[{'text': 'covid', 'indices': [26, 32]}]",[]
boxpiperapp,BOX PIPER,My website,"Tweets trending Tech, Programming, Products, NFT's •  https://t.co/DLciusI4vB • https://t.co/UEVsGvrJ1m • https://t.co/iljUBS0tSv • https://t.co/7OUu0VzdcJ • https://t.co/6NmLLfJxDL

by @sanketmakhija",https://t.co/XpxpoDUu0l,FALSE,226,160,11,574,57898,2020-09-12 19:29:30+00:00,TRUE,FALSE,Box Piper,,0,0,[],"[{'text': 'themarkup', 'indices': [93, 103]}, {'text': 'amazon', 'indices': [104, 111]}, {'text': 'covid', 'indices': [112, 118]}, {'text': 'covid19', 'indices': [119, 127]}, {'text': 'covid19', 'indices': [128, 136]}, {'text': 'amazonwarehouse', 'indices': [137, 153]}, {'text': 'hackernoontopstory', 'indices': [154, 173]}, {'text': 'workersrights', 'indices': [174, 188]}]","[{'url': 'https://t.co/Ci3ANYhrHd', 'expanded_url': 'https://hackernoon.com/take-a-rare-glimpse-into-covid-cases-in-california-amazon-warehouses', 'display_url': 'hackernoon.com/take-a-rare-gl…', 'indices': [69, 92]}]"
rodbishop15,Rod Bishop 💎,,Patriotic Englishman Tory. Likes Family Sport Business Travel Politics Military History THFC 🇬🇧🇺🇦,,FALSE,36859,5522,113,339319,39712,2013-11-15 15:51:42+00:00,TRUE,FALSE,Twitter for iPhone,,16,54,[],"[{'text': 'SNP', 'indices': [20, 24]}, {'text': 'Brexit', 'indices': [45, 52]}, {'text': 'Covid', 'indices': [101, 107]}, {'text': 'Boris', 'indices': [205, 211]}]",[]
nhenews,National Health Executive,Manchester,"The latest news, insight and opinion from the Health Sector",https://t.co/aL0yWENClo,FALSE,14636,1874,211,1284,29713,2009-09-18 08:55:07+00:00,FALSE,FALSE,Twitter for Advertisers,,1,1,"[{'screen_name': 'DHSCgovuk', 'name': 'Department of Health and Social Care', 'id': 37963496, 'id_str': '37963496', 'indices': [200, 210]}]","[{'text': 'Covid19', 'indices': [3, 11]}, {'text': 'Omicron', 'indices': [211, 219]}, {'text': 'Covid', 'indices': [220, 226]}]",[]
jandws,Grumpy,England,"Trying, though not always succeeding, to be Christian. Finding my way slowly. Not always on the right road but hopefully in the right direction.",http://t.co/RvgVbDWO2P,FALSE,52,59,0,495,8412,2010-05-21 12:05:07+00:00,FALSE,FALSE,Fenix 2,,2,1,[],"[{'text': 'politicians', 'indices': [36, 48]}, {'text': 'Covid', 'indices': [93, 99]}, {'text': 'lockdowns', 'indices': [100, 110]}, {'text': 'RishiSunak', 'indices': [117, 128]}]","[{'url': 'https://t.co/QgFbsSy0AR', 'expanded_url': 'https://www.bbc.co.uk/news/uk-politics-62664537', 'display_url': 'bbc.co.uk/news/uk-politi…', 'indices': [129, 152]}]"
AaronMcC_Zero,Aaron McClenaghan,"London, England",“It's hard to win an argument with a smart person. It's damn near impossible to win an argument with a stupid person.” ― Bill Murray,,FALSE,155,347,2,2302,4381,2015-09-07 08:18:41+00:00,FALSE,FALSE,Twitter Web App,,1,1,"[{'screen_name': 'trussliz', 'name': 'Liz for Leader', 'id': 65357102, 'id_str': '65357102', 'indices': [89, 98]}, {'screen_name': 'RishiSunak', 'name': 'Rishi Sunak', 'id': 1168968080690749441, 'id_str': '1168968080690749441', 'indices': [102, 113]}, {'screen_name': 'billmaher', 'name': 'Bill Maher', 'id': 19697415, 'id_str': '19697415', 'indices': [246, 256]}]","[{'text': 'corruption', 'indices': [141, 152]}, {'text': 'incompetence', 'indices': [154, 167]}, {'text': 'fraud', 'indices': [172, 178]}, {'text': 'Covid', 'indices': [196, 202]}]","[{'url': 'https://t.co/JNxTzUOukG', 'expanded_url': 'https://www.youtube.com/watch?v=CqSpAa060qQ', 'display_url': 'youtube.com/watch?v=CqSpAa…', 'indices': [257, 280]}]"
SleepReview,Sleep Review,"Los Angeles, CA","Sleep medicine news for clinicians and consumers. Covering Sleep Apnea, Insomnia, Restless Legs Syndrome, Narcolepsy, Etc. https://t.co/o7oLA9OgBX",http://t.co/2Ap4MmqkD4,FALSE,14510,2892,224,62,6116,2008-12-09 00:17:06+00:00,FALSE,FALSE,Buffer,,1,3,[],"[{'text': 'COVID', 'indices': [61, 67]}]","[{'url': 'https://t.co/OLbSny3aUA', 'expanded_url': 'https://buff.ly/3wT4jUj', 'display_url': 'buff.ly/3wT4jUj', 'indices': [70, 93]}]"
rough_tumble,Jack Kavanagh,Sacramento,A snapshot of California Public Policy and Politics,https://t.co/NfhiVZgwsr,FALSE,5957,357,250,33,5373,2009-07-21 01:26:49+00:00,FALSE,FALSE,TweetDeck,,1,1,[],"[{'text': 'CAgov', 'indices': [63, 69]}, {'text': 'CAleg', 'indices': [70, 76]}, {'text': 'California', 'indices': [77, 88]}, {'text': 'Education', 'indices': [90, 100]}, {'text': 'COVID', 'indices': [101, 107]}, {'text': 'Politics', 'indices': [108, 117]}, {'text': 'environment', 'indices': [118, 130]}, {'text': 'Oil', 'indices': [131, 135]}, {'text': 'water', 'indices': [137, 143]}, {'text': 'workplace', 'indices': [144, 154]}, {'text': 'street', 'indices': [156, 163]}, {'text': 'PG', 'indices': [166, 169]}, {'text': 'housing', 'indices': [176, 184]}, {'text': 'homeless', 'indices': [185, 194]}, {'text': 'Monkeypox', 'indices': [197, 207]}, {'text': 'Transit', 'indices': [210, 218]}, {'text': 'LosAngeles', 'indices': [219, 230]}, {'text': 'SanFrancisco', 'indices': [231, 244]}, {'text': 'Sacramento', 'indices': [245, 256]}]","[{'url': 'https://t.co/W48pKJ3GfN', 'expanded_url': 'http://www.rtumble.com', 'display_url': 'rtumble.com', 'indices': [38, 61]}]"
CGTNOfficial,CGTN,"Beijing, China",CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.,https://t.co/YSOcIymQSt,TRUE,13285041,74,8442,208,236392,2013-01-24 03:18:59+00:00,FALSE,FALSE,TweetDeck,,2,4,[],"[{'text': 'COVID', 'indices': [39, 45]}, {'text': 'cgtnamerica', 'indices': [59, 71]}]","[{'url': 'https://t.co/b6SZrDARn7', 'expanded_url': 'https://twitter.com/cgtnamerica/status/1562867710039494657', 'display_url': 'twitter.com/cgtnamerica/st…', 'indices': [72, 95]}]"
cgtnamerica,CGTN America,"Washington, DC","Watch live: https://t.co/nz0et8flN6 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.",https://t.co/iVTEO0BzeY,TRUE,289810,2366,1436,10938,132621,2012-06-27 14:45:38+00:00,FALSE,FALSE,TweetDeck,,1,4,[],"[{'text': 'COVID', 'indices': [5, 11]}]",[]
AlexVGFreedom,Alex,,FREEDOM 📸Photography 🏔Nature ✈️Travel 🐋Animals lover,,FALSE,104,309,0,1277,3507,2011-01-08 02:59:50+00:00,FALSE,FALSE,Twitter for iPhone,,0,0,"[{'screen_name': 'JustinTrudeau', 'name': 'Justin Trudeau', 'id': 14260960, 'id_str': '14260960', 'indices': [179, 193]}]","[{'text': 'Quebec', 'indices': [29, 36]}, {'text': 'Covid', 'indices': [92, 98]}, {'text': 'TrudeauDictatorshipMustGo', 'indices': [194, 220]}, {'text': 'TrudeauDestroyingCanada', 'indices': [221, 245]}, {'text': 'TrudeauResign', 'indices': [246, 260]}]","[{'url': 'https://t.co/iojEurnS85', 'expanded_url': 'https://twitter.com/melissalmrogers/status/1562778717092745216', 'display_url': 'twitter.com/melissalmroger…', 'indices': [261, 284]}]"
Vertical4Space,Vertical Space,Inner Space,"Boost your immune system https://t.co/CyDp9YOAUD
Real news, research and information at https://t.co/qriMOr2jYS",https://t.co/9tqdktli2K,FALSE,30,3,0,1203,1624,2020-12-03 17:41:19+00:00,TRUE,FALSE,Twitter Web App,,0,0,"[{'screen_name': 'jthrasher', 'name': 'John Thrasher', 'id': 14482155, 'id_str': '14482155', 'indices': [0, 10]}, {'screen_name': 'DjokerNole', 'name': 'Novak Djokovic', 'id': 259925559, 'id_str': '259925559', 'indices': [11, 22]}]","[{'text': 'COVID', 'indices': [118, 124]}, {'text': 'COVID', 'indices': [183, 189]}, {'text': 'CNN', 'indices': [242, 246]}]",[]
TipiKoivisto,Tipi Koivisto,,Health Coach | IT | Founder of @HabinatorApp,https://t.co/aCBc7YD3Ul,FALSE,75,271,0,3802,849,2011-11-15 17:43:47+00:00,TRUE,FALSE,Twitter for Android,,0,0,[],"[{'text': 'COVID', 'indices': [48, 54]}]","[{'url': 'https://t.co/Xc6F5GLGSS', 'expanded_url': 'https://twitter.com/JordanSchachtel/status/1562633597541945344', 'display_url': 'twitter.com/JordanSchachte…', 'indices': [55, 78]}]"
RS_COVID19,Research Square Covid-19 Preprints,"Durham, NC","Making research communication faster, fairer, and more useful.",https://t.co/VxjvldVgMw,FALSE,434,1,3,16,6163,2021-02-12 19:58:17+00:00,TRUE,FALSE,rs-covid19,,1,1,[],"[{'text': 'covid', 'indices': [205, 211]}]","[{'url': 'https://t.co/wvYadxENMh', 'expanded_url': 'https://www.researchsquare.com/article/rs-1929887/latest', 'display_url': 'researchsquare.com/article/rs-192…', 'indices': [212, 235]}]"
JInfo4us,JustInfo4us,,,,FALSE,2464,2643,2,8837,218871,2018-12-30 14:57:27+00:00,TRUE,FALSE,Zapier.com,,1,1,[],"[{'text': 'employment', 'indices': [65, 76]}, {'text': 'jobs', 'indices': [77, 82]}, {'text': 'hiring', 'indices': [83, 90]}, {'text': 'job', 'indices': [91, 95]}, {'text': 'jobsearch', 'indices': [96, 106]}, {'text': 'recruitment', 'indices': [107, 119]}, {'text': 'career', 'indices': [120, 127]}, {'text': 'work', 'indices': [128, 133]}, {'text': 'careers', 'indices': [134, 142]}, {'text': 'recruiting', 'indices': [143, 154]}, {'text': 'nowhiring', 'indices': [155, 165]}, {'text': 'business', 'indices': [166, 175]}, {'text': 'resume', 'indices': [176, 183]}, {'text': 'jobseekers', 'indices': [184, 195]}, {'text': 'hr', 'indices': [196, 199]}, {'text': 'jobhunt', 'indices': [200, 208]}, {'text': 'staffing', 'indices': [209, 218]}, {'text': 'humanresources', 'indices': [219, 234]}, {'text': 'jobopening', 'indices': [235, 246]}, {'text': 'jobseeker', 'indices': [247, 257]}, {'text': 'covid', 'indices': [258, 264]}, {'text': 'recruiter', 'indices': [265, 275]}, {'text': 'int', 'indices': [276, 280]}]","[{'url': 'https://t.co/GYMUd5C183', 'expanded_url': 'https://zpr.io/Cd6eNAr4CPQt', 'display_url': 'zpr.io/Cd6eNAr4CPQt', 'indices': [41, 64]}]"
RS_COVID19,Research Square Covid-19 Preprints,"Durham, NC","Making research communication faster, fairer, and more useful.",https://t.co/VxjvldVgMw,FALSE,434,1,3,16,6163,2021-02-12 19:58:17+00:00,TRUE,FALSE,rs-covid19,,1,1,[],"[{'text': 'covid', 'indices': [89, 95]}]","[{'url': 'https://t.co/cLs3kGXtfG', 'expanded_url': 'https://www.researchsquare.com/article/rs-1911401/latest', 'display_url': 'researchsquare.com/article/rs-191…', 'indices': [96, 119]}]"
JennyLynnHere,JLS,,,,FALSE,239,2860,17,144094,164994,2016-08-14 15:47:45+00:00,FALSE,FALSE,Twitter for iPhone,,0,0,"[{'screen_name': 'MegynKellyShow', 'name': 'The Megyn Kelly Show', 'id': 1298358020339048449, 'id_str': '1298358020339048449', 'indices': [0, 15]}, {'screen_name': 'megynkelly', 'name': 'Megyn Kelly', 'id': 110445334, 'id_str': '110445334', 'indices': [16, 27]}]","[{'text': 'Covid', 'indices': [68, 74]}]",[]
healthbyjames,"James Cintolo, RN FN CPT 🏥 📷 🎙️","Boston, Ma",Expert on medical & nutritional health 💡tweets don’t reflect employers opinions,https://t.co/FsI9Xcw6HC,FALSE,331,91,4,411,2753,2022-01-05 18:18:18+00:00,TRUE,FALSE,Twitter for iPhone,,3,6,[],"[{'text': 'CDC', 'indices': [4, 8]}, {'text': 'COVID', 'indices': [136, 142]}]","[{'url': 'https://t.co/u0IjzdFLRi', 'expanded_url': 'https://www.cdc.gov/mmwr/volumes/71/wr/mm7134a3.htm?s_cid=mm7134a3_w', 'display_url': 'cdc.gov/mmwr/volumes/7…', 'indices': [241, 264]}]"
CLEARcornwall,CLEAR,Cornwall UK,"Cornish Charity supporting children & adults affected by domestic and sexual abuse and other emotional trauma. Therapy, wellbeing, professional development.",https://t.co/0PHCUoMqrm,FALSE,914,1751,17,1673,6505,2011-10-02 13:46:42+00:00,FALSE,FALSE,TweetDeck,,1,1,[],"[{'text': 'Covid', 'indices': [114, 120]}, {'text': 'lockdown', 'indices': [124, 133]}]","[{'url': 'https://t.co/FlIVbvcP7E', 'expanded_url': 'http://youtu.be/RQag3rcI5PY', 'display_url': 'youtu.be/RQag3rcI5PY', 'indices': [141, 164]}]"
